,xvalues,vzdisp,vydisp
0,0.0,-0.006441770543027988,0.013450425270711311
1,0.03856521739130435,-0.0061316865742322944,0.012760210063142563
2,0.0771304347826087,-0.0058216026054366005,0.012069994927557485
3,0.11569565217391305,-0.005511518636640907,0.011379779982018896
4,0.1542608695652174,-0.005201434667845213,0.010689565418461257
5,0.19282608695652176,-0.004891377300720931,0.009999417937786623
6,0.2313913043478261,-0.004581883686666248,0.009310679248649945
7,0.26995652173913043,-0.004273950888128051,0.008625835874996518
8,0.3085217391304348,-0.003968592406836295,0.007947424751200017
9,0.34708695652173915,-0.003666821744520938,0.007277974893287398
10,0.3856521739130435,-0.0033696524029119394,0.006620009779946708
11,0.4242173913043478,-0.003078097883739256,0.005976073731646733
12,0.4627826086956522,-0.0027931716887328443,0.005348681926082158
13,0.5013478260869565,-0.002515887319622663,0.004740383671501409
14,0.5399130434782609,-0.0022472582781386686,0.004153688747767044
15,0.5784782608695652,-0.0019882980660108204,0.0035911522008251536
16,0.6170434782608696,-0.001740020184969074,0.0030552777329750976
17,0.655608695652174,-0.0015034381367433867,0.0025486267025400054
18,0.6941739130434783,-0.0012795654230637176,0.002073696264628354
19,0.7327391304347827,-0.0010694155456600239,0.00163303418195619
20,0.771304347826087,-0.0008740020062622629,0.0012291915913474685
21,0.8098695652173913,-0.0006943383066003918,0.0008646588996948559
22,0.8484347826086956,-0.0005314379484043681,0.0005420108067159934
23,0.887,-0.0003863144334041507,0.0002637310801370304
24,0.9255652173913044,-0.00025998126332969426,3.2374176365174145e-05
25,0.9641304347826087,-0.00015345193991096046,-0.0001495023481934525
26,1.002695652173913,-6.773996487790222e-05,-0.0002794209258105123
27,1.0412608695652175,-3.8588399604811904e-06,-0.00035479461985377277
28,1.0798260869565217,3.734972564887855e-05,-0.00037377999067790026
29,1.1183913043478262,5.604072128020075e-05,-0.000338092984259096
30,1.1569565217391304,5.272769525675042e-05,-0.0002507595462663305
31,1.195521739130435,2.79246683399844e-05,-0.00011490204943403332
32,1.2340869565217392,-1.7845301947737487e-05,6.646557072991291e-05
33,1.2726521739130434,-8.353970462872742e-05,0.00028908577706657397
34,1.311217391304348,-0.00016732369282136932,0.0005471030261355071
35,1.3497826086956521,-0.00026729573802237484,0.0008345197212930727
36,1.3883478260869566,-0.00038155431172844784,0.0011452366091367263
37,1.4269130434782609,-0.0005083278475269863,0.0014737317033835413
38,1.4654782608695653,-0.0006468004272387256,0.0018179803160669524
39,1.5040434782608696,-0.0007965825654602347,0.002177416679436361
40,1.542608695652174,-0.0009572867480570789,0.002551616993716947
41,1.5811739130434783,-0.0011285254608948145,0.002940024282114673
42,1.6197391304347826,-0.0013099111898390095,0.0033421808592684465
43,1.658304347826087,-0.0015010564207552334,0.003757627508715061
44,1.6968695652173913,-0.0017015736395090374,0.00418581031586465
45,1.7354347826086958,-0.0019110753319659946,0.004626299444480149
46,1.774,-0.002129173983991659,0.0050785453516038765
47,1.8125652173913045,-0.0023554820814516014,0.005542086634956566
48,1.8511304347826087,-0.0025896121102113867,0.006016459174925373
49,1.889695652173913,-0.002831176556136565,0.006501118863219699
50,1.9282608695652175,-0.0030797879050927183,0.006995625143120398
51,1.9668260869565217,-0.003335058642945388,0.007499440106334685
52,2.005391304347826,-0.0035966012555601543,0.008012096533250817
53,2.0439565217391307,-0.0038640282288025813,0.008533123884673833
54,2.082521739130435,-0.004136952048538223,0.00906199089147742
55,2.121086956521739,-0.0044149852006326405,0.009598243883669146
56,2.1596521739130434,-0.004697740170951405,0.010141358340338526
57,2.1982173913043477,-0.00498482944536007,0.010690873943789725
58,2.2367826086956524,-0.005275865509724214,0.01124627272030321
59,2.2753478260869566,-0.005570460849909387,0.011807088039806105
60,2.313913043478261,-0.005868227951781156,0.012372808006142011
61,2.352478260869565,-0.00616877930120509,0.012942960251540467
62,2.39104347826087,-0.0064717273840467476,0.01351704384672297
63,2.429608695652174,-0.006776684686171696,0.014094564729001913
64,2.4681739130434783,-0.007083263693445476,0.014675041408183884
65,2.5067391304347826,-0.007391076891733678,0.015257977972825009
66,2.545304347826087,-0.007699736766901862,0.015842884045922385
67,2.5838695652173915,-0.008008855804815586,0.01642926919134733
68,2.622434782608696,-0.008318081468161034,0.017016582924696225
69,2.661,-0.008627307539729021,0.01760385234357755
